Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2007,2007,1000 Head,2350000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2008,2008,1000 Head,2450000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2009,2009,1000 Head,2500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2010,2010,1000 Head,2527000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2011,2011,1000 Head,2545000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2012,2012,1000 Head,2620000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2013,2013,1000 Head,2650000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2014,2014,1000 Head,2700000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2015,2015,1000 Head,2940000,Im,FAO data based on imputation methodology
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2016,2016,1000 Head,2978000,Im,FAO data based on imputation methodology
QL,Livestock Primary,41,"China, mainland",5313,Laying,1062,"Eggs, hen, in shell",2017,2017,1000 Head,3114000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1961,1961,100mg/An,30769,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1962,1962,100mg/An,30174,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1963,1963,100mg/An,31590,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1964,1964,100mg/An,31443,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1965,1965,100mg/An,31707,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1966,1966,100mg/An,31382,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1967,1967,100mg/An,31682,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1968,1968,100mg/An,31685,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1969,1969,100mg/An,32018,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1970,1970,100mg/An,33482,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1971,1971,100mg/An,32839,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1972,1972,100mg/An,33898,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1973,1973,100mg/An,34810,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1974,1974,100mg/An,35174,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1975,1975,100mg/An,36105,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1976,1976,100mg/An,36853,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1977,1977,100mg/An,37622,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1978,1978,100mg/An,38685,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1979,1979,100mg/An,40000,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1980,1980,100mg/An,41481,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1981,1981,100mg/An,45049,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1982,1982,100mg/An,46970,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1983,1983,100mg/An,48065,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1984,1984,100mg/An,60052,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1985,1985,100mg/An,67053,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1986,1986,100mg/An,70032,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1987,1987,100mg/An,73096,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1988,1988,100mg/An,80058,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1989,1989,100mg/An,82023,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1990,1990,100mg/An,84760,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1991,1991,100mg/An,94769,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1992,1992,100mg/An,99500,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1993,1993,100mg/An,104867,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1994,1994,100mg/An,100271,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1995,1995,100mg/An,100857,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1996,1996,100mg/An,104213,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1997,1997,100mg/An,100783,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1998,1998,100mg/An,101012,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",1999,1999,100mg/An,100806,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2000,2000,100mg/An,97873,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2001,2001,100mg/An,97590,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2002,2002,100mg/An,96665,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2003,2003,100mg/An,99155,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2004,2004,100mg/An,95952,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2005,2005,100mg/An,94200,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2006,2006,100mg/An,90847,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2007,2007,100mg/An,91485,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2008,2008,100mg/An,93747,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2009,2009,100mg/An,93245,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2010,2010,100mg/An,92928,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2011,2011,100mg/An,93898,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2012,2012,100mg/An,92824,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2013,2013,100mg/An,92249,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2014,2014,100mg/An,91104,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2015,2015,100mg/An,103609,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2016,2016,100mg/An,106128,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5410,Yield,1062,"Eggs, hen, in shell",2017,2017,100mg/An,99432,Fc,Calculated data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1961,1961,tonnes,1200000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1962,1962,tonnes,1216000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1963,1963,tonnes,1232000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1964,1964,tonnes,1264000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1965,1965,tonnes,1300000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1966,1966,tonnes,1340000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1967,1967,tonnes,1375000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1968,1968,tonnes,1410000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1969,1969,tonnes,1460000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1970,1970,tonnes,1500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1971,1971,tonnes,1550000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1972,1972,tonnes,1600000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1973,1973,tonnes,1650000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1974,1974,tonnes,1720000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1975,1975,tonnes,1780000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1976,1976,tonnes,1850000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1977,1977,tonnes,1930000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1978,1978,tonnes,2000000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1979,1979,tonnes,2120000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1980,1980,tonnes,2240000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1981,1981,tonnes,2320000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1982,1982,tonnes,2480000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1983,1983,tonnes,2658000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1984,1984,tonnes,3453000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1985,1985,tonnes,4278000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1986,1986,tonnes,4440000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1987,1987,tonnes,4722000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1988,1988,tonnes,5564000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1989,1989,tonnes,5758000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1990,1990,tonnes,6357000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1991,1991,tonnes,7392000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1992,1992,tonnes,8159000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1993,1993,tonnes,9438000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1994,1994,tonnes,11832000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1995,1995,tonnes,13414000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1996,1996,tonnes,15632000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1997,1997,tonnes,16125300,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1998,1998,tonnes,17172000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",1999,1999,tonnes,18145000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2000,2000,tonnes,18547000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2001,2001,tonnes,18786000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2002,2002,tonnes,19304000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2003,2003,tonnes,19831000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2004,2004,tonnes,20150000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2005,2005,tonnes,20724000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2006,2006,tonnes,20604000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2007,2007,tonnes,21499000,,Official data
