AreaName,Year,Stock_largeAni,Stock_cattle,Stock_horse,Stock_donkey,Stock_mule,Stock_camel,Out_hog,Stock_hog,Stock_gt_shp,Stock_goat,Stock_sheep,Out_cattle,Out_gt_shp,Out_poultry,MeatYield,MeatYield_hg_ct_gt_shp,MeatYield_hog,MeatYield_cattle,MeatYield_gt_shp,MilkYield,MilkYield_cattle,WoolYield_sheep,WoolYield_sheep_fine,WoolYield_sheep_semi,WoolYield_goat_thick,WoolYield_goat_cashmere,EggYield,HoneyYield
China,2011,10580.00915,9383.999658,515.3883631,485.27620329999996,171.06832849999998,24.27659396,67030.03531,47074.81,28664.148810000002,14087.43671,14576.7121,4670.6900000000005,26661.519999999997,1132715.1500000001,8022.9812409999995,6140.318556,5131.647413000001,610.7070924,397.9640498,3262.771883,3109.932313,386486.7773,132876.7011,113305.3107,38070.33143,17125.87586,2830.364533,41.17846551
China,2012,10248.362659999999,9137.251369,465.23774019999996,462.4344558,158.9614956,24.47759997,70724.47627999999,48030.24417,28512.73863,13932.29732,14580.4413,4760.91,27099.530000000006,1207704.27,8471.102745999999,6462.793806000001,5443.548494,614.7463795,404.4989327,3306.694231,3174.928519,393724.55,124716.0301,127312.9456,40505.29747,17210.82306,2885.394316,43.839259600000005
China,2013,10008.570179999999,8985.755153,431.67854230000006,425.7132977,138.0447483,27.37843793,72767.9787,47893.13528,28935.22125,13657.52074,15277.7005,4828.3,27586.700000000004,1190459.1,8632.770501,6641.586466,5618.599074000001,613.0873333,409.9000579,3118.910314,3000.817191,402080.8333,131729.883,128335.4007,40214.93888,17307.2468,2905.546923,43.65521813
China,2014,9952.016771999999,9007.276488,415.7513702,383.623088,117.3533824,28.01244411,74951.46534,47160.20964,30391.28205,14167.515769999998,16223.766280000002,4929.200000000001,28741.599999999995,1154166.8999999997,8817.902413,6864.1578420000005,5820.802302,615.722388,427.6331518999999,3276.450945,3159.8828940000003,407230.12100000004,122250.823,132692.7536,38655.353039999995,18465.12079,2930.308356,46.29887747
China,2015,9929.803104,9055.789343999999,397.49803510000004,342.3709306,104.0944882,30.05030595,72415.59979,45802.89185,31174.26632,14507.50559,16666.77513,5003.599999999999,29472.8,1198720.5999999999,8749.521726,6702.227268,5645.409001,616.8859772999999,439.93229010000005,3295.469046,3179.829022,413133.7695,130536.6074,134905.2896,35486.82688,18683.55866,3046.127163,47.31569024
China,2016,9559.936337000001,8834.489857999999,351.18410930000005,259.2582003,84.53256915,30.4716,70073.91918,44209.16556,29930.540139999997,13691.77455,16238.76559,5109.799999999999,30694.699999999997,1237300.1,8628.32802,6502.649815,5425.49376,616.9050497000001,460.2510052,3173.934074,3064.0289589999998,411642.3928,129164.2013,137972.7359,35785.27478,18844.21205,3160.53866,55.528363
China,2017,9763.613992,9038.745611,343.64224029999997,267.78332059999997,81.11583828,32.326982,70202.08302,44158.91617,30231.665960000002,13823.76863,16407.88734,,,,8654.431278,6557.488595000001,5451.796882,634.6234182,471.0682949,3148.57564,3038.620948,409353.3137,127920.7294,133458.4842,32862.68822,17852.270080000002,3096.289071,54.25435743
Beijing,1998,18.6,12.5,0.9,2.1,3.1,0.0,374.8,254.5,95.8,45.2,50.6,,,,44.8,31.2,27.9,2.1,1.2,22.8,22.7,431.0,0.0,22.0,224.0,58.0,17.9,0.2
Tianjin,1998,30.9,18.3,1.2,8.6,2.9,0.0,188.2,127.2,56.1,18.1,38.1,,,,21.7,17.6,13.9,2.3,1.4,11.7,11.7,87.0,0.0,87.0,0.0,0.0,22.7,0.0
Hebei,1998,936.6,664.5,49.0,155.4,67.7,0.0,2902.6,2332.7,1924.0,958.4,965.6,,,,376.7,298.9,219.1,58.0,21.8,65.9,55.8,23172.0,4894.0,7754.0,5850.0,865.0,319.0,0.8
Shanxi,1998,316.8,227.0,5.6,39.6,44.6,0.0,545.5,510.6,1019.1,463.7,555.4,,,,61.0,55.8,42.8,6.9,6.2,32.5,30.1,6943.0,1504.0,603.0,1600.0,462.0,37.0,0.3
Inner Mongolia,1998,677.3,375.6,129.8,92.2,66.1,13.6,791.2,816.1,3712.9,1339.8,2373.1,,,,129.4,117.9,73.3,17.6,27.0,67.1,63.8,65955.0,37416.0,13954.0,3381.0,3876.0,21.2,0.1
Liaoning,1998,382.1,209.3,40.6,95.2,37.0,0.0,1223.9,1039.9,318.1,146.3,171.7,,,,216.6,138.9,112.8,23.4,2.6,19.9,18.5,7450.0,3933.0,3359.0,858.0,309.0,131.6,0.5
