Domain,Area,Element,Item,Year,Unit,Value,Flag Description
Live Animals,China,Stocks,Cattle,1961,10000 Head,4951.4057,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1962,10000 Head,4687.556,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1963,10000 Head,4747.5507,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1964,10000 Head,4905.6062,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1965,10000 Head,5253.3452,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1966,10000 Head,5368.9871,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1967,10000 Head,5606.5909,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1968,10000 Head,5697.53,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1969,10000 Head,5783.8346,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1970,10000 Head,5761.6205,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1971,10000 Head,5760.8007,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1972,10000 Head,5759.2971,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1973,10000 Head,5710.9536,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1974,10000 Head,5678.93,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1975,10000 Head,5668.2903,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1976,10000 Head,5568.585,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1977,10000 Head,5397.6936,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1978,10000 Head,5283.5851,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1979,10000 Head,5262.5386,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1980,10000 Head,5249.6213,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1981,10000 Head,5260.0332,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1982,10000 Head,5391.5814,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1983,10000 Head,5701.1528,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1984,10000 Head,5902.2646,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1985,10000 Head,6271.4199,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1986,10000 Head,6699.3286,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1987,10000 Head,7096.5348,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1988,10000 Head,7322.6276,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1989,10000 Head,7625.78,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1990,10000 Head,7790.9675,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1991,10000 Head,8132.7882,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1992,10000 Head,8272.2948,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1993,10000 Head,8578.332,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1994,10000 Head,9090.8312,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1995,10000 Head,10055.5931,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1996,10000 Head,10891.3232,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1997,10000 Head,9083.5401,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1998,10000 Head,9943.5292,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,1999,10000 Head,10191.2343,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2000,10000 Head,10455.3559,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2001,10000 Head,10092.9433,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2002,10000 Head,9555.5476,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2003,10000 Head,9309.9589,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2004,10000 Head,9220.7458,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2005,10000 Head,9013.4331,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2006,10000 Head,8754.8391,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2007,10000 Head,8206.6855,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2008,10000 Head,8281.5275,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2009,10000 Head,8262.4651,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2010,10000 Head,8379.8151,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2011,10000 Head,8302.3758,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2012,10000 Head,8040.2985,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2013,10000 Head,8032.8809,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2014,10000 Head,8065.2987,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2015,10000 Head,8226.5743,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2016,10000 Head,8452.3349,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Cattle,2017,10000 Head,8335.5177,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1961,10000 Head,54085.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1962,10000 Head,55442.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1963,10000 Head,57097.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1964,10000 Head,58680.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1965,10000 Head,59089.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1966,10000 Head,59926.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1967,10000 Head,60755.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1968,10000 Head,61579.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1969,10000 Head,62788.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1970,10000 Head,64063.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1971,10000 Head,65105.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1972,10000 Head,67440.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1973,10000 Head,68309.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1974,10000 Head,70594.7,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1975,10000 Head,71119.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1976,10000 Head,75812.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1977,10000 Head,77749.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1978,10000 Head,82036.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1979,10000 Head,84969.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1980,10000 Head,92114.6,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1981,10000 Head,96813.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1982,10000 Head,103138.7,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1983,10000 Head,111585.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1984,10000 Head,118650.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1985,10000 Head,126689.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1986,10000 Head,143525.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1987,10000 Head,164360.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1988,10000 Head,185083.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1989,10000 Head,198409.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1990,10000 Head,208306.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1991,10000 Head,230797.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1992,10000 Head,244319.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1993,10000 Head,269679.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1994,10000 Head,300217.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1995,10000 Head,313744.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1996,10000 Head,347454.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1997,10000 Head,398395.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1998,10000 Head,312036.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,1999,10000 Head,342211.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2000,10000 Head,362301.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2001,10000 Head,376948.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2002,10000 Head,409891.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2003,10000 Head,398054.6,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2004,10000 Head,421464.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2005,10000 Head,444524.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2006,10000 Head,445186.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2007,10000 Head,471158.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2008,10000 Head,503039.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2009,10000 Head,522219.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2010,10000 Head,530272.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2011,10000 Head,471098.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2012,10000 Head,491657.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2013,10000 Head,483517.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2014,10000 Head,463264.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2015,10000 Head,470123.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2016,10000 Head,504640.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Chickens,2017,10000 Head,497391.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1961,10000 Head,10007.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1962,10000 Head,10318.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1963,10000 Head,10719.7,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1964,10000 Head,11230.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1965,10000 Head,11462.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1966,10000 Head,11858.6,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1967,10000 Head,12276.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1968,10000 Head,12805.6,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1969,10000 Head,13210.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1970,10000 Head,13401.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1971,10000 Head,14030.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1972,10000 Head,14486.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1973,10000 Head,15289.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1974,10000 Head,15619.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1975,10000 Head,15934.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1976,10000 Head,16798.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1977,10000 Head,17135.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1978,10000 Head,17917.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1979,10000 Head,18200.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1980,10000 Head,19286.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1981,10000 Head,19668.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1982,10000 Head,20027.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1983,10000 Head,20603.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1984,10000 Head,20826.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1985,10000 Head,22346.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1986,10000 Head,24908.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1987,10000 Head,28587.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1988,10000 Head,29348.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1989,10000 Head,30275.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1990,10000 Head,32971.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1991,10000 Head,34113.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1992,10000 Head,40106.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1993,10000 Head,44493.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1994,10000 Head,47854.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1995,10000 Head,51879.5,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1996,10000 Head,56782.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1997,10000 Head,64943.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1998,10000 Head,51322.7,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,1999,10000 Head,56211.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2000,10000 Head,61176.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2001,10000 Head,63586.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2002,10000 Head,68635.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2003,10000 Head,66035.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2004,10000 Head,71036.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2005,10000 Head,73001.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2006,10000 Head,74201.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2007,10000 Head,69216.2,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2008,10000 Head,74125.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2009,10000 Head,75042.7,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2010,10000 Head,79656.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2011,10000 Head,67622.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2012,10000 Head,70617.3,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2013,10000 Head,69462.9,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2014,10000 Head,66506.1,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2015,10000 Head,68946.8,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2016,10000 Head,73930.0,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Ducks,2017,10000 Head,72435.4,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1961,10000 Head,5130.2582,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1962,10000 Head,6325.6487,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1963,10000 Head,7066.6989,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1964,10000 Head,6787.3240000000005,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1965,10000 Head,6239.02,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1966,10000 Head,6092.2074,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1967,10000 Head,6045.6622,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1968,10000 Head,6215.5172,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1969,10000 Head,6216.5195,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1970,10000 Head,6066.9666,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1971,10000 Head,6157.8007,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1972,10000 Head,6295.4548,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1973,10000 Head,6151.7886,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1974,10000 Head,6428.0838,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1975,10000 Head,6635.8576,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1976,10000 Head,6823.1814,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1977,10000 Head,6567.5959,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1978,10000 Head,6802.4886,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1979,10000 Head,7373.8984,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1980,10000 Head,8076.2327,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1981,10000 Head,8086.8252,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1982,10000 Head,7843.7249,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1983,10000 Head,7539.759,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1984,10000 Head,6823.2495,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1985,10000 Head,6342.4712,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1986,10000 Head,6190.5509,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1987,10000 Head,6745.7712,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1988,10000 Head,7711.7707,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1989,10000 Head,9024.2699,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1990,10000 Head,9635.0433,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1991,10000 Head,9737.7943,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1992,10000 Head,9553.0716,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1993,10000 Head,9781.2093,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1994,10000 Head,10599.0089,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1995,10000 Head,12339.3661,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1996,10000 Head,14991.1404,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1997,10000 Head,12346.7329,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1998,10000 Head,13511.6416,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,1999,10000 Head,14204.6335,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2000,10000 Head,14847.8245,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2001,10000 Head,14974.0305,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2002,10000 Head,14587.2929,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2003,10000 Head,14865.3427,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2004,10000 Head,14992.8862,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2005,10000 Head,15221.9142,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2006,10000 Head,14685.8033,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2007,10000 Head,13793.0074,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2008,10000 Head,14359.5223,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2009,10000 Head,15249.9101,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2010,10000 Head,15070.8101,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2011,10000 Head,14224.4534,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2012,10000 Head,14293.351,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2013,10000 Head,14152.9283,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2014,10000 Head,14050.693000000001,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2015,10000 Head,14481.7662,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2016,10000 Head,14909.1141,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Goats,2017,10000 Head,13991.6096,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1961,10000 Head,8561.8571,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1962,10000 Head,7891.9826,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1963,10000 Head,10332.0264,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1964,10000 Head,13479.6051,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1965,10000 Head,15544.4622,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1966,10000 Head,17009.5211,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1967,10000 Head,19673.5966,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1968,10000 Head,19337.01,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1969,10000 Head,18201.1964,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1970,10000 Head,17596.4162,"Aggregate, may include official, semi-official, estimated or calculated data"
Live Animals,China,Stocks,Pigs,1971,10000 Head,20952.3353,"Aggregate, may include official, semi-official, estimated or calculated data"
