Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1973,1973,tonnes,49700,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1974,1974,tonnes,8568,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1975,1975,tonnes,5809,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1976,1976,tonnes,5607,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1977,1977,tonnes,12510,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1978,1978,tonnes,4844,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1979,1979,tonnes,13743,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1980,1980,tonnes,9867,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1981,1981,tonnes,18965,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1982,1982,tonnes,18796,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1983,1983,tonnes,11476,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1984,1984,tonnes,32125.96,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1985,1985,tonnes,55610.89,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1986,1986,tonnes,10789.2,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1987,1987,tonnes,49924.66,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1988,1988,tonnes,25876.58,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1989,1989,tonnes,28699.17,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1990,1990,tonnes,33694.15,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1991,1991,tonnes,92339.18,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1992,1992,tonnes,160404,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1993,1993,tonnes,45774,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1994,1994,tonnes,45663.54,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1995,1995,tonnes,111984,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1996,1996,tonnes,256606.36,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1997,1997,tonnes,395749,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1998,1998,tonnes,447181,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",1999,1999,tonnes,405423.95,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2000,2000,tonnes,358458,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2001,2001,tonnes,389340,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2002,2002,tonnes,368940.08,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2003,2003,tonnes,605861.65,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2004,2004,tonnes,561534.75,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2005,2005,tonnes,662256.42,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2006,2006,tonnes,613214.73,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2007,2007,tonnes,724333.25,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2008,2008,tonnes,843434,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2009,2009,tonnes,921264,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2010,2010,tonnes,992780,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2011,2011,tonnes,932872,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2012,2012,tonnes,940743,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",641,Food supply quantity (tonnes),2769,"Aquatic Animals, Others",2013,2013,tonnes,940743,S,Standardized data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1961,1961,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1962,1962,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1963,1963,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1964,1964,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1965,1965,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1966,1966,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1967,1967,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1968,1968,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1969,1969,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1970,1970,g/capita/day,0.13,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1971,1971,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1972,1972,g/capita/day,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1973,1973,g/capita/day,0.16,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1974,1974,g/capita/day,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1975,1975,g/capita/day,0.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1976,1976,g/capita/day,0.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1977,1977,g/capita/day,0.04,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1978,1978,g/capita/day,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1979,1979,g/capita/day,0.04,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1980,1980,g/capita/day,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1981,1981,g/capita/day,0.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1982,1982,g/capita/day,0.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1983,1983,g/capita/day,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1984,1984,g/capita/day,0.08,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1985,1985,g/capita/day,0.14,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1986,1986,g/capita/day,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1987,1987,g/capita/day,0.12,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1988,1988,g/capita/day,0.06,Fc,Calculated data
