Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2004,10000 tonnes,969.4826,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2005,10000 tonnes,975.451939,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2006,10000 tonnes,979.4193359999999,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2007,10000 tonnes,1010.10696,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2008,10000 tonnes,1034.507561,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2009,10000 tonnes,1082.730277,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2010,10000 tonnes,1143.13524,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2011,10000 tonnes,1195.280916,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2012,10000 tonnes,1308.5781,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Aquatic Plants,2013,10000 tonnes,1308.5781,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1961,g/capita/day,1.04,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1962,g/capita/day,1.02,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1963,g/capita/day,1.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1964,g/capita/day,1.57,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1965,g/capita/day,1.54,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1966,g/capita/day,1.88,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1967,g/capita/day,1.83,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1968,g/capita/day,1.78,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1969,g/capita/day,2.07,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1970,g/capita/day,1.78,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1971,g/capita/day,2.31,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1972,g/capita/day,2.65,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1973,g/capita/day,2.22,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1974,g/capita/day,2.33,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1975,g/capita/day,2.53,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1976,g/capita/day,2.38,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1977,g/capita/day,3.49,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1978,g/capita/day,3.95,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1979,g/capita/day,3.68,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1980,g/capita/day,3.76,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1981,g/capita/day,3.24,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1982,g/capita/day,3.22,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1983,g/capita/day,3.44,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1984,g/capita/day,3.71,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1985,g/capita/day,3.77,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1986,g/capita/day,3.39,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1987,g/capita/day,2.92,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1988,g/capita/day,3.48,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1989,g/capita/day,3.9,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1990,g/capita/day,3.6,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1991,g/capita/day,5.25,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1992,g/capita/day,7.22,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1993,g/capita/day,8.88,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1994,g/capita/day,9.5,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1995,g/capita/day,9.48,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1996,g/capita/day,10.13,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1997,g/capita/day,9.92,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1998,g/capita/day,12.57,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Aquatic Plants,1999,g/capita/day,14.25,Calculated data
