Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1987,g/capita/day,2.06,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1988,g/capita/day,2.22,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1989,g/capita/day,2.35,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1990,g/capita/day,2.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1991,g/capita/day,2.59,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1992,g/capita/day,2.69,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1993,g/capita/day,3.16,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1994,g/capita/day,3.88,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1995,g/capita/day,4.51,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1996,g/capita/day,5.33,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1997,g/capita/day,5.56,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1998,g/capita/day,6.25,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,1999,g/capita/day,6.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2000,g/capita/day,6.81,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2001,g/capita/day,6.98,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2002,g/capita/day,7.33,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2003,g/capita/day,6.78,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2004,g/capita/day,6.88,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2005,g/capita/day,7.01,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2006,g/capita/day,7.04,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2007,g/capita/day,8.16,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2008,g/capita/day,8.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2009,g/capita/day,9.36,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2010,g/capita/day,9.14,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2011,g/capita/day,9.44,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2012,g/capita/day,10.61,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Crustaceans,2013,g/capita/day,10.54,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1961,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1962,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1963,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1964,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1965,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1966,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1967,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1968,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1969,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1970,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1971,g/capita/day,0.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1972,g/capita/day,0.08,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1973,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1974,g/capita/day,0.12,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1975,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1976,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1977,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1978,g/capita/day,0.13,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1979,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1980,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1981,g/capita/day,0.1,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1982,g/capita/day,0.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1983,g/capita/day,0.12,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1984,g/capita/day,0.15,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1985,g/capita/day,0.17,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1986,g/capita/day,0.17,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1987,g/capita/day,0.19,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1988,g/capita/day,0.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1989,g/capita/day,0.21,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1990,g/capita/day,0.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1991,g/capita/day,0.23,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1992,g/capita/day,0.24,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1993,g/capita/day,0.29,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1994,g/capita/day,0.36,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1995,g/capita/day,0.42,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1996,g/capita/day,0.5,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1997,g/capita/day,0.52,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1998,g/capita/day,0.58,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,1999,g/capita/day,0.57,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2000,g/capita/day,0.63,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2001,g/capita/day,0.65,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2002,g/capita/day,0.68,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2003,g/capita/day,0.62,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2004,g/capita/day,0.63,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2005,g/capita/day,0.64,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2006,g/capita/day,0.65,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2007,g/capita/day,0.75,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2008,g/capita/day,0.75,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2009,g/capita/day,0.86,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2010,g/capita/day,0.83,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2011,g/capita/day,0.86,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2012,g/capita/day,0.96,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Crustaceans,2013,g/capita/day,0.96,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1961,10000 tonnes,52.0,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1962,10000 tonnes,54.6,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1963,10000 tonnes,54.6,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1964,10000 tonnes,54.6,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1965,10000 tonnes,57.2,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1966,10000 tonnes,57.2,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1967,10000 tonnes,57.2,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1968,10000 tonnes,58.9,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1969,10000 tonnes,58.9,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1970,10000 tonnes,58.09,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1971,10000 tonnes,60.74,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1972,10000 tonnes,66.53,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1973,10000 tonnes,73.42,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1974,10000 tonnes,77.4514,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1975,10000 tonnes,62.3847,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1976,10000 tonnes,55.7289,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1977,10000 tonnes,71.3886,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1978,10000 tonnes,81.5227,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1979,10000 tonnes,66.1198,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1980,10000 tonnes,69.6998,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1981,10000 tonnes,82.2584,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1982,10000 tonnes,84.8513,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1983,10000 tonnes,65.1711,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1984,10000 tonnes,83.4631,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1985,10000 tonnes,78.8126,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1986,10000 tonnes,87.037,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1987,10000 tonnes,85.9462,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1988,10000 tonnes,69.237652,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1989,10000 tonnes,86.57583000000001,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1990,10000 tonnes,99.519324,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1991,10000 tonnes,112.612306,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1992,10000 tonnes,135.880519,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1993,10000 tonnes,140.793247,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1994,10000 tonnes,197.55254,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1995,10000 tonnes,259.456544,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1996,10000 tonnes,265.037534,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1997,10000 tonnes,258.218119,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1998,10000 tonnes,282.246015,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,1999,10000 tonnes,261.101517,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2000,10000 tonnes,300.558309,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2001,10000 tonnes,294.68827999999996,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2002,10000 tonnes,293.429179,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2003,10000 tonnes,414.625968,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2004,10000 tonnes,451.328358,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2005,10000 tonnes,440.34708,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2006,10000 tonnes,461.544594,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2007,10000 tonnes,462.49941399999994,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2008,10000 tonnes,469.878633,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2009,10000 tonnes,438.66181500000005,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2010,10000 tonnes,452.56469699999997,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2011,10000 tonnes,464.55579500000005,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2012,10000 tonnes,467.54710700000004,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (tonnes),Demersal Fish,2013,10000 tonnes,467.54710700000004,Standardized data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1961,g/capita/day,2.16,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1962,g/capita/day,2.23,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1963,g/capita/day,2.19,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1964,g/capita/day,2.15,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1965,g/capita/day,2.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1966,g/capita/day,2.15,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1967,g/capita/day,2.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1968,g/capita/day,2.09,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1969,g/capita/day,2.04,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1970,g/capita/day,1.95,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1971,g/capita/day,1.99,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1972,g/capita/day,2.13,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1973,g/capita/day,2.29,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1974,g/capita/day,2.37,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1975,g/capita/day,1.87,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1976,g/capita/day,1.64,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1977,g/capita/day,2.07,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1978,g/capita/day,2.33,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1979,g/capita/day,1.87,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1980,g/capita/day,1.94,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1981,g/capita/day,2.26,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1982,g/capita/day,2.3,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1983,g/capita/day,1.74,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1984,g/capita/day,2.19,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1985,g/capita/day,2.03,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1986,g/capita/day,2.2,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1987,g/capita/day,2.13,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1988,g/capita/day,1.69,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1989,g/capita/day,2.07,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1990,g/capita/day,2.34,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1991,g/capita/day,2.61,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1992,g/capita/day,3.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1993,g/capita/day,3.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1994,g/capita/day,4.41,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1995,g/capita/day,5.74,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1996,g/capita/day,5.82,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1997,g/capita/day,5.63,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1998,g/capita/day,6.11,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,1999,g/capita/day,5.62,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2000,g/capita/day,6.43,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2001,g/capita/day,6.27,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2002,g/capita/day,6.21,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2003,g/capita/day,8.72,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2004,g/capita/day,9.44,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2005,g/capita/day,9.15,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2006,g/capita/day,9.54,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2007,g/capita/day,9.5,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2008,g/capita/day,9.59,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2009,g/capita/day,8.89,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2010,g/capita/day,9.12,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2011,g/capita/day,9.3,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2012,g/capita/day,9.3,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Food supply quantity (g/capita/day),Demersal Fish,2013,g/capita/day,9.24,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Demersal Fish,1961,g/capita/day,0.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Demersal Fish,1962,g/capita/day,0.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Demersal Fish,1963,g/capita/day,0.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Demersal Fish,1964,g/capita/day,0.18,Calculated data
Food Supply - Livestock and Fish Primary Equivalent,"China, mainland",Protein supply quantity (g/capita/day),Demersal Fish,1965,g/capita/day,0.18,Calculated data
