Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, caught","Marine, farmed",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, caught","Freshwater, farmed",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
"China, mainland",1989,7611.42,19951.174,33879.58,219000.0,653.4,8081.67,28732.77,204300.0,91.1,96.2,2101.572,242.2,719.8,381.3,139.4,11.903480345027699,73.1,1.1855115026921197,1151.7,1121.7,661.2,503.6,157.6,383.0,105.7,137.5,30.0,5.0,490.5,73.5,417.0,472.8,9.5,7.3,0.9
"China, mainland",1990,7776.9856,20740.9,34575.4816,231600.0,754.6,8875.369999999999,30371.1808,223670.0,107.8,106.8,2235.48,270.4,794.6,415.7,142.9,12.033301146881769,73.6,1.2089238610452897,1237.0,1209.5,713.3,550.9,162.4,423.2,107.1,147.3,27.5,8.2,523.7,78.3,445.4,504.9,9.4,7.6,1.8
"China, mainland",1991,8119.4,21002.1,36240.8,255300.0,873.0,9731.0608,31910.1888,262600.0,131.45,118.0,2452.3,328.0,924.0,464.7,150.6,12.126118870822387,76.9,1.2490479817212492,1350.8,1310.8,800.1,609.6,190.5,466.2,119.4,158.6,40.0,15.9,550.7,91.5,459.2,530.4,10.7,8.5,1.1
"China, mainland",1992,8258.7,20621.0,36964.6,274000.0,998.4,10308.37,33762.8992,292000.0,154.945,125.0,2635.3,378.0,1019.9,503.1,155.2,12.126068427889182,78.1,1.2945205479452055,1557.1,1500.3,933.7,691.3,242.4,517.6,127.4,204.4,56.8,27.5,623.4,90.1,533.4,598.4,12.4,10.5,2.2
"China, mainland",1993,8564.0,20732.9,38421.1,303000.0,1227.6,11103.0,35176.1408,377800.0,195.5,137.3,2854.4,491.0,1179.8,498.6,159.3,12.366027199855894,81.1,1.2996294335627316,1823.0,1753.61,1076.04,767.34,308.7,557.39,138.66,288.59,69.39,22.01,746.96,102.85,644.11,710.59,13.33,16.29,6.75
"China, mainland",1994,9075.7,21731.4,39300.1,336500.0,1586.43,11920.0,37760.9408,417600.0,211.45,148.0,3204.83,560.0,1479.0,528.8,133.3,12.416107382550335,84.9,1.3409961685823757,2143.13,2068.61,1241.5,895.83,345.67,647.37,170.89,323.64,74.52,25.08,901.62,116.59,785.04,859.23,20.29,15.27,6.82
"China, mainland",1995,10040.5,24052.74,41461.54,354068.0,1834.4,14019.0,38957.2192,500000.0,257.05,174.5,3648.37,670.0,1676.7,576.4,140.1,12.447392824024535,93.7,1.34,2517.18,2442.27,1439.13,1026.84,412.3,758.1,184.8,392.71,74.91,28.61,1078.05,137.29,940.76,1020.94,27.05,20.75,9.31
"China, mainland",1996,10876.0,27685.59,44169.19,392360.0,2052.0,13875.0,38751.6,510700.0,297.63,181.0,3158.0,672.6,1965.2,629.4,145.0,13.045045045045045,81.5,1.3170158605835127,3288.09,3195.1800000000007,2012.88,1248.98,763.9,823.52,204.65,852.68,92.91,39.13,1275.22,176.27,1098.95,1177.8,36.28,48.4,12.73
"China, mainland",1997,9068.2,23728.3,36283.6,450600.0,2629.78,15945.5,39911.9616,613000.0,362.93,212.8,3596.3,793.3,1897.13,601.1,138.0,13.34545796619736,90.1,1.294127243066884,3601.78,3503.8,2176.42,1385.38,791.04,964.15,225.71,824.18,97.98,64.4,1425.35,188.64,1236.71,1324.88,47.79,36.38,16.3
"China, mainland",1998,9927.7,25575.7,40034.8,350000.0,2922.715,17279.5,42725.1392,656400.0,401.3,234.6,3883.7,880.4000000000003,2020.2,662.1,137.3,13.576781735582626,90.9,1.3412553321145644,3906.53,3802.41,2356.71,1496.68,860.02,1055.97,258.57,870.09,104.12,67.97,1549.79,228.34,1321.41,1425.21,60.43,45.79,18.32
"China, mainland",1999,10175.4,26903.5,42256.3,385000.0,3060.0,18820.4,44876.1984,729600.0,421.92,251.3,4005.6,927.6,2134.7,717.5939,137.9,13.3525323585046,89.3,1.2713815789473684,4122.41,4002.96,2471.93,1497.64,974.3,1057.91,277.08,959.27,119.45,58.22,1650.49,227.77,1422.72,1517.12,70.7,42.96,19.73
"China, mainland",2000,10439.6,27925.8,43144.2,410000.0,3244.5,19787.2,46676.08,757050.0,462.8,264.98,3965.99,1016.4,2182.0,827.4,142.6,13.391485404706073,85.0,1.3425797503467407,4278.4845,4156.2872,2538.7389,1477.4524,1061.2865,1032.9888,297.0907,1038.6671,122.1973,47.7943,1739.7456,226.3652,1513.3804,1573.05924,88.29966,46.3064,32.0631
"China, mainland",2001,10077.4,27948.2,41633.6,427500.0,3316.815,19774.0,47237.4784,743850.0,470.8,268.21500000000003,4051.7,1003.08,2210.1,1025.5,141.9,13.564023465156266,85.8,1.3484976809840694,4381.334,4256.3843,2571.6967,1440.6144,1131.0823,1014.7398,302.5418,1078.1415,124.9497,51.3239,1809.6373,214.5899,1595.0474,1629.0458,100.7866,52.5858,27.2023
